Temperature (°C),Humidity (%),Wind Speed (m/s),Evapotranspiration (mm/day),Rainfall Pattern (mm),Soil Type,Soil Moisture Levels (%),Water Retention Capacity (%),"Drainage Properties (1=Poor, 5=Excellent)",Crop Type,Crop Water Requirement (mm/day),Growth Stage,Water Requirement (mm/day)
24.36350297118406,49.89126547733588,11.084975509354571,6.743301115349565,59.7824082408833,Sandy,19.89724030985606,35.6733641197422,4,Wheat,11.656576663687872,Vegetative,17.8
38.767857660247905,46.63296769851226,3.1754239361813177,5.133632081807738,18.963555032411605,Silty,19.440263502017622,46.812501174955784,2,Rice,5.141653829217511,Fruiting,10.58
33.29984854528513,34.092313000228806,5.526275568363349,9.680486723775468,25.271844994443192,Clay,30.805982811893625,43.49523651800452,5,Rice,5.427770684936487,Flowering,16.74
29.966462104925917,68.58133360811904,10.117569234438365,2.9708060588581438,36.13422563618436,Clay,5.105963839727309,44.60176658178299,4,Rice,2.6689519283776812,Seedling,4.76
18.900466011060914,58.12993284069031,7.490295495604959,6.290707743990466,40.73066687298967,Sandy,38.14102615440039,10.108228986814698,4,Soybean,3.6522928725537245,Vegetative,9.54
18.899863008405067,89.25607938592029,11.20928006020596,7.301890134912004,48.452361842108814,Sandy,30.005177964766872,30.577283661460672,3,Rice,7.260650341375825,Fruiting,14.76
16.452090304204987,22.56876643856466,14.437514567731466,8.430080404108434,51.09200579269888,Silty,29.75383850041962,41.30914269541286,2,Soybean,5.154198211394075,Fruiting,13.87
36.654403644373375,71.5094342044101,2.1899269718703636,4.662739273852064,91.14326909750719,Peaty,19.768717817300484,17.258284899027984,2,Wheat,10.197254187458,Vegetative,13.95
30.02787529358022,81.0359102809249,10.788731887771883,7.182297168917334,101.91463816520825,Clay,38.802538757339875,40.05809166412223,3,Rice,8.22158204064392,Vegetative,14.38
32.70181444490114,80.75892553506456,3.8399902566656605,3.728813242458545,61.77584162527119,Clay,5.011313108828488,10.366406066095184,4,Cotton,9.313079219434071,Flowering,13.05
15.51461235739506,90.88591736764201,6.509912547409754,4.919284831256382,181.45928398414563,Peaty,7.676849354060974,33.00666764498976,4,Soybean,6.416890946844699,Seedling,8.9
39.247746304049855,78.32269942635952,0.9765095240295274,9.060644180830593,110.62794466779091,Silty,33.14225060996645,44.05312479973365,5,Soybean,2.9960562300684495,Fruiting,11.75
35.81106602001054,94.2248049318157,2.4706570432441346,9.549168483978589,157.49538560668134,Loamy,30.85453083971519,27.253934329013852,1,Maize,7.623566562571758,Seedling,14.0
20.308477766956905,46.61252798567132,5.136770691209046,7.469356122345383,184.84756648416868,Loamy,14.497442365752914,39.57810110863883,3,Rice,4.591835059367135,Flowering,11.34
19.545624180177516,60.256753340123446,5.458794176675782,4.369167016985665,32.62702291516104,Clay,25.816595804503983,31.215946796434775,5,Rice,7.223218733390132,Seedling,10.46
19.585112746335845,21.126373062631252,13.543985638700388,8.380520109771975,85.5748967431269,Loamy,23.621849791466662,35.89163913681137,2,Maize,3.1157369697779993,Flowering,12.15
22.60605607398844,20.556606984263297,11.256287184364469,1.2328037355287815,86.64208034292176,Silty,23.449016045375725,30.666716635020933,2,Soybean,9.792072706349355,Vegetative,10.16
28.11891079080595,39.21012963612159,14.596653038712097,1.9247131948547895,70.89445008767083,Loamy,25.844645653534812,29.033469730636003,2,Soybean,5.993878914658734,Seedling,6.97
25.798625466052894,28.06457577112682,9.186536899860988,6.95236362737825,1.781173310327988,Sandy,39.7807353954442,43.66506318452848,1,Maize,8.651665511164712,Flowering,16.97
22.28072850495105,40.81690943486029,4.00484911532411,3.6212371774305168,163.19442155561902,Silty,39.55707301192517,13.709727423563178,3,Wheat,6.923999338684865,Seedling,8.52
30.296322368059485,34.163463562271794,5.250997933863822,9.5624759656043,22.31186431078056,Peaty,39.35885929822371,33.38605141404124,1,Soybean,6.667665393042811,Flowering,17.87
18.487346516301045,22.28160198709186,5.137620887733522,4.924545508830743,199.09611958435178,Clay,24.2039536831463,14.592419511912077,4,Rice,5.818840053198721,Fruiting,9.05
22.303616213380455,92.74433171248396,5.234167751117148,4.864283383502594,154.59169838223633,Silty,16.133286251581726,32.51231646580406,4,Wheat,6.827966992402177,Fruiting,10.48
24.159046082342293,20.65785051111132,10.257980510121326,7.102715591718382,116.0020035213029,Loamy,24.603851345253457,48.543841707268896,2,Cotton,8.127051331700459,Seedling,12.88
26.4017496054259,78.88657154696683,8.196714957311034,7.908117060755707,30.92128354831949,Silty,26.794097267134767,12.283915640451948,3,Maize,4.2411327341348795,Vegetative,11.84
34.62939903482534,32.171830953561326,6.088650582256342,5.280028643126228,103.0785942786494,Peaty,15.900332405763532,26.880272127855722,5,Soybean,9.144546852661605,Seedling,12.54
19.991844553958995,92.978369759968,2.6618016465663907,2.9260081154055175,52.22174817156178,Silty,27.147157023905866,42.07884801104321,4,Soybean,6.856207617104084,Seedling,8.78
27.85586096034029,91.42367516719086,0.8210178626611156,7.959777784530594,50.4645049086139,Peaty,26.769799573877766,24.787662734812358,5,Maize,8.167808380847864,Flowering,17.11
29.810364221551062,72.3120917095406,3.6731028250215427,3.883161473862648,165.9058498764971,Peaty,36.62149943160699,30.812590698560044,5,Soybean,6.726000387869529,Fruiting,9.17
16.161260317999943,73.77873198404842,2.0583353575458783,2.5759969236447184,76.12888479188693,Silty,13.316127324589173,14.588312275257929,4,Soybean,3.6369902582313967,Fruiting,5.63
30.18862129753596,20.427131357575085,11.88895294735747,6.6847617093251195,90.14476067816082,Clay,29.41634390277022,18.92293100957567,5,Rice,5.277706054136758,Seedling,9.9
19.263103092182288,98.78972528908817,2.131220388301338,1.8140830029131536,168.59294755602366,Clay,20.776648058294697,37.45700821803103,5,Rice,5.405999456733983,Fruiting,5.55
16.62628982463199,90.22660828606516,11.001309440949125,9.742174075774495,17.55812514376851,Loamy,9.547048614095509,43.14350216058373,5,Soybean,6.051812751615694,Seedling,13.71
38.722138431333335,91.60849805840736,6.092051001753198,6.691575379709232,118.92357061820991,Silty,16.066393565968212,35.85825398663545,1,Soybean,5.1904158518195205,Flowering,11.79
39.14080082686398,72.73956296406976,1.5639866512847516,9.873059688295802,115.64313627460756,Silty,7.004696205646016,43.4768351791425,3,Soybean,8.747294497066662,Flowering,19.21
35.20993370291153,47.58295429236292,12.284585716757993,4.050040811307724,85.04291385333505,Sandy,16.17664911483164,34.22629868696791,2,Soybean,11.942128958892589,Seedling,14.5
22.61534422933427,91.49189192723847,8.904643268430894,9.740846450713581,165.9549282848186,Clay,7.4154776546769074,42.40832835741531,1,Wheat,9.062256705832757,Flowering,18.76
17.441802850159597,43.32135425209539,3.9185419365218093,2.310060229557612,188.57801226713852,Peaty,37.39057695642294,49.315472037477846,5,Rice,11.589020776225057,Fruiting,12.06
32.10582566280392,65.01692346737623,13.472877027823685,1.366252951123256,93.06717238272215,Sandy,8.561108483790797,13.312989365517648,1,Soybean,9.38291106435463,Flowering,9.91
26.003812343490033,27.97847778751059,1.156245551122996,1.296856544091423,91.22941019967993,Silty,33.606947616225455,29.185985205188395,1,Soybean,7.866407726263294,Fruiting,8.29
18.05095587111947,93.75645041062002,3.4263843188675622,5.183833335393044,100.41274593414894,Sandy,36.71442436293296,17.595706654108902,3,Rice,9.056609281309651,Fruiting,13.65
27.379422752781757,31.261636621697065,11.404680453184985,1.7470377773073529,144.6248061666123,Clay,21.368469529819144,28.609141904584806,3,Cotton,10.167320622938712,Flowering,10.53
15.85971302788046,37.99174445843258,10.785979989493393,5.609510957508416,133.61205813979245,Silty,6.887417560054312,29.983469793274196,5,Soybean,10.33660056255962,Vegetative,14.61
37.73301005196955,64.6507326502572,4.694439559004931,3.9475045315801043,44.56698984137741,Clay,25.852498919901915,34.87685104823004,1,Maize,3.2822875932043862,Flowering,7.48
21.469499540000424,81.12744001703852,1.3993606926153552,4.02066093226704,12.779069719868662,Sandy,13.216893431475704,27.57191947932766,3,Wheat,8.254930411123174,Fruiting,12.54
31.56305710884955,69.54810447490391,12.942132047261685,6.720480968906528,189.85082596335786,Loamy,11.18304412851863,22.988497110488055,3,Cotton,3.5995792650566876,Flowering,9.39
22.792776902235275,38.57071302401249,5.048615752013587,2.4678820553645817,52.213951946740856,Peaty,24.836736144773976,11.726731815698237,1,Cotton,9.300271200070476,Seedling,10.86
28.00170052944527,20.075443402199227,3.3378445164598456,7.89898033305758,127.71933693811835,Peaty,17.47338381932464,11.391741348119172,3,Rice,2.0553110912276655,Flowering,10.0
28.66775698358199,80.57204642459513,7.982896424234168,6.238278278007713,165.68760054874448,Loamy,30.56325018962687,17.00033407183925,4,Wheat,8.412762686450488,Flowering,13.91
19.621361388138176,98.8165860728875,13.698294389595485,9.234501659627599,60.055350109437256,Loamy,25.69378693650679,27.95945638886772,3,Maize,2.4894739403758397,Flowering,12.85
39.239615694113965,84.79304962448724,1.1314253787289426,4.283565883907711,127.08668273138575,Loamy,34.02694458024882,26.70064145031857,5,Wheat,11.01088108523328,Flowering,14.63
34.37832058402786,56.816529452529224,11.604159276447872,9.84443492860413,21.580048229844984,Clay,7.043505228450652,17.627819758892066,5,Cotton,9.441201351873914,Vegetative,19.07
